tail;head;relation
Industrial Engineers;industrial tool design engineer;broadMatch
Human Factors Engineers and Ergonomists;ergonomist;narrowMatch
Validation Engineers;quality engineer;exactMatch
Manufacturing Engineers;manufacturing engineer;exactMatch
Manufacturing Engineers;dependability engineer;broadMatch
Manufacturing Engineers;leather goods product developer;broadMatch
Manufacturing Engineers;rolling stock engineer;broadMatch
Marine Engineers and Naval Architects;naval architect;broadMatch
Marine Engineers and Naval Architects;marine engineer;broadMatch
Marine Engineers and Naval Architects;marine chief engineer;broadMatch
Materials Engineers;material stress analyst;broadMatch
Materials Engineers;synthetic materials engineer;broadMatch
Materials Engineers;paper engineer;broadMatch
Materials Engineers;microelectronics materials engineer;broadMatch
Materials Engineers;surface engineer;broadMatch
Materials Engineers;metallurgist;broadMatch
Materials Engineers;textile, leather and footwear researcher;broadMatch
Materials Engineers;welding engineer;broadMatch
Mechanical Engineers;engine designer;broadMatch
Mechanical Engineers;rotating equipment engineer;broadMatch
Mechanical Engineers;mechanical engineer;exactMatch
Mechanical Engineers;mine mechanical engineer;broadMatch
Mechanical Engineers;precision engineer;broadMatch
Fuel Cell Engineers;alternative fuels engineer;exactMatch
Automotive Engineers;autonomous driving specialist;broadMatch
Automotive Engineers;automotive engineer;exactMatch
Automotive Engineers;powertrain engineer;broadMatch
Mining and Geological Engineers, Including Mining Safety Engineers;mining geotechnical engineer;exactMatch
Mining and Geological Engineers, Including Mining Safety Engineers;mine development engineer;broadMatch
Mining and Geological Engineers, Including Mining Safety Engineers;environmental mining engineer;broadMatch
Mining and Geological Engineers, Including Mining Safety Engineers;quarry engineer;broadMatch
Mining and Geological Engineers, Including Mining Safety Engineers;geological engineer;broadMatch
Mining and Geological Engineers, Including Mining Safety Engineers;mine planning engineer;broadMatch
Mining and Geological Engineers, Including Mining Safety Engineers;mine ventilation engineer;broadMatch
Nuclear Engineers;nuclear engineer;exactMatch
Petroleum Engineers;petroleum engineer;exactMatch
Petroleum Engineers;gas production engineer;broadMatch
Engineers, All Other;application engineer;broadMatch
Engineers, All Other;commissioning engineer;broadMatch
Engineers, All Other;container equipment design engineer;broadMatch
Engineers, All Other;contract engineer;broadMatch
Engineers, All Other;dismantling engineer;broadMatch
Engineers, All Other;fluid power engineer;broadMatch
Engineers, All Other;gas distribution engineer;broadMatch
Engineers, All Other;heating, ventilation, air conditioning engineer;broadMatch
Engineers, All Other;patent engineer;broadMatch
Engineers, All Other;wood technology engineer;broadMatch
Mechatronics Engineers;mechatronics engineer;exactMatch
Mechatronics Engineers;embedded system designer;broadMatch
Mechatronics Engineers;smart home engineer;broadMatch
Microsystems Engineers;microsystem engineer;exactMatch
Photonics Engineers;photonics engineer;exactMatch
Robotics Engineers;robotics engineer;exactMatch
Nanosystems Engineers;nanoengineer;exactMatch
Wind Energy Engineers;onshore wind energy engineer;broadMatch
Wind Energy Engineers;offshore renewable energy engineer;broadMatch
Solar Energy Systems Engineers;solar energy engineer;exactMatch
Architectural and Civil Drafters;drafter;narrowMatch
Architectural and Civil Drafters;civil drafter;broadMatch
Architectural and Civil Drafters;architectural drafter;broadMatch
Electrical and Electronics Drafters;drafter;narrowMatch
Electrical and Electronics Drafters;electrical drafter;broadMatch
Electrical and Electronics Drafters;electronics drafter;broadMatch
Electrical and Electronics Drafters;electromechanical drafter;broadMatch
Mechanical Drafters;mechanical engineering drafter;exactMatch
Mechanical Drafters;drafter;narrowMatch
Aerospace Engineering and Operations Technologists and Technicians;aerospace engineering technician;exactMatch
Civil Engineering Technologists and Technicians;civil engineering technician;exactMatch
Civil Engineering Technologists and Technicians;asphalt laboratory technician;broadMatch
Electrical and Electronic Engineering Technologists and Technicians;electrical engineering technician;broadMatch
Electrical and Electronic Engineering Technologists and Technicians;computer hardware engineering technician;broadMatch
Electrical and Electronic Engineering Technologists and Technicians;electronics engineering technician;broadMatch
Electrical and Electronic Engineering Technologists and Technicians;computer hardware test technician;broadMatch
Electro-Mechanical and Mechatronics Technologists and Technicians;electromechanical engineering technician;broadMatch
Electro-Mechanical and Mechatronics Technologists and Technicians;mechatronics engineering technician;broadMatch
Electro-Mechanical and Mechatronics Technologists and Technicians;marine mechatronics technician;broadMatch
Robotics Technicians;robotics engineering technician;exactMatch
Environmental Engineering Technologists and Technicians;water conservation technician;broadMatch
Industrial Engineering Technologists and Technicians;product development engineering technician;broadMatch
Industrial Engineering Technologists and Technicians;process engineering technician;broadMatch
Industrial Engineering Technologists and Technicians;industrial engineering technician;exactMatch
Industrial Engineering Technologists and Technicians;leather goods industrial engineer;broadMatch
Industrial Engineering Technologists and Technicians;production engineering technician;broadMatch
Industrial Engineering Technologists and Technicians;textile technologist;broadMatch
Mechanical Engineering Technologists and Technicians;mechanical engineering technician;exactMatch
Mechanical Engineering Technologists and Technicians;pneumatic engineering technician;broadMatch
Automotive Engineering Technicians;automotive engineering technician;exactMatch
Automotive Engineering Technicians;motor vehicle engine inspector;broadMatch
Calibration Technologists and Technicians;calibration technician;narrowMatch
Calibration Technologists and Technicians;precision device inspector;broadMatch
Calibration Technologists and Technicians;metrology technician;exactMatch
Engineering Technologists and Technicians, Except Drafters, All Other;colour sampling technician;broadMatch
Engineering Technologists and Technicians, Except Drafters, All Other;commissioning technician;broadMatch
Engineering Technologists and Technicians, Except Drafters, All Other;food and beverage packaging technologist;broadMatch
Engineering Technologists and Technicians, Except Drafters, All Other;footwear product developer;broadMatch
Engineering Technologists and Technicians, Except Drafters, All Other;footwear production technician;broadMatch
Engineering Technologists and Technicians, Except Drafters, All Other;marine engineering technician;broadMatch
Engineering Technologists and Technicians, Except Drafters, All Other;rolling stock engineering technician;broadMatch
Engineering Technologists and Technicians, Except Drafters, All Other;wastewater treatment technician;broadMatch
Non-Destructive Testing Specialists;non-destructive testing specialist;exactMatch
